epoch,train_loss,val_oa,val_aa,val_kappa
1,0.6527682175832008,0.9364485981308411,0.9491470424428329,0.9209354737406019
2,0.19887229588939181,0.8616822429906542,0.8205399535342558,0.8255639760310187
3,0.14935258774559446,0.9495327102803738,0.9481108892552942,0.9367637208935818
4,0.08573794024370944,0.9803738317757009,0.9792502246772133,0.9754202190849365
5,0.0839028843720235,0.9869158878504672,0.9852846319019779,0.9836141605155961
6,0.06989975711469774,0.991588785046729,0.9937614875569806,0.9894780202070087
7,0.03905033242172881,0.9990654205607477,0.9993804213135068,0.9988300704691199
8,0.04020833510405092,0.9682242990654205,0.9653650885324883,0.9602373517507916
9,0.05366402765763784,0.9953271028037384,0.9940200617283951,0.9941454617479791
10,0.04824550939140035,0.9990654205607477,0.9986449864498645,0.9988296981058609
11,0.02303677115332224,0.9990654205607477,0.9989583333333334,0.998829791538846
12,0.01624174309510446,0.997196261682243,0.9982875251386435,0.9964916077289554
13,0.03328544442079711,0.994392523364486,0.9937862855110376,0.9929773590932262
14,0.03797102266046872,0.997196261682243,0.9963687518819633,0.9964880226254492
15,0.02226338286253401,0.9663551401869159,0.9683373096215643,0.9579840640492149
16,0.020820868475216706,0.9990654205607477,0.9993804213135068,0.9988300704691199
17,0.008443008024730275,0.9981308411214953,0.9989071038251366,0.9976600462742251
18,0.007421132762014602,1.0,1.0,1.0
19,0.054177253092239516,0.9813084112149533,0.9752498883415104,0.9765425982032069
20,0.03919461552130142,0.9906542056074766,0.9904902853673345,0.9882992974110829
21,0.018724575438953714,1.0,1.0,1.0
22,0.01205050663843598,1.0,1.0,1.0
23,0.1267220299306965,0.9841121495327103,0.9831495094834617,0.9801113284517342
24,0.026741484683980025,0.9962616822429906,0.9956767176098031,0.9953198980875004
25,0.014588347073633974,1.0,1.0,1.0
26,0.010437531642391652,1.0,1.0,1.0
27,0.008357459648838961,1.0,1.0,1.0
28,0.00664255221017268,1.0,1.0,1.0
29,0.006026694206968332,1.0,1.0,1.0
30,0.005031197717362918,1.0,1.0,1.0
31,0.024213894021729052,0.9672897196261683,0.9712981936854889,0.9591208973536103
32,0.06551470270522856,0.9962616822429906,0.9956404320987655,0.9953179218574285
33,0.014381576707819477,0.9981308411214953,0.9981458534122724,0.997660076976907
34,0.012388473687868969,0.9981308411214953,0.9975308641975308,0.9976589916598843
35,0.007741733763015954,1.0,1.0,1.0
36,0.0077059615558489405,0.9990654205607477,0.9993804213135068,0.9988300704691199
37,0.0037402120294938133,0.994392523364486,0.996282527881041,0.9929846032804083
38,0.009253545219277175,0.994392523364486,0.9932075818073339,0.9929794632898103
39,0.006929540924368246,1.0,1.0,1.0
40,0.003276328060361374,0.9981308411214953,0.9987608426270137,0.997660419768797
41,0.0020007835812012034,1.0,1.0,1.0
42,0.0017149754061012653,1.0,1.0,1.0
43,0.006667206640350511,0.994392523364486,0.9935570987654322,0.9929761528354133
44,0.08705495294819215,0.9822429906542056,0.9790768569115564,0.9777511233876952
45,0.024073966412193407,0.9981308411214953,0.9987608426270137,0.997660419768797
46,0.009514777787838135,0.9990654205607477,0.9986449864498645,0.9988296981058609
47,0.008977320409356443,0.9981308411214953,0.9979166666666667,0.9976593040476539
48,0.011404939587797045,1.0,1.0,1.0
49,0.005394271225994279,1.0,1.0,1.0
50,0.002776007052719916,1.0,1.0,1.0
51,0.002679302306857078,1.0,1.0,1.0
52,0.004692812297475735,1.0,1.0,1.0
53,0.004256423901070001,0.9990654205607477,0.9993804213135068,0.9988300704691199
54,0.009987996863856097,0.9869158878504672,0.98744793749167,0.9836273595783772
55,0.016490435487568577,0.9990654205607477,0.9989583333333334,0.998829791538846
56,0.015478483861850474,1.0,1.0,1.0
57,0.00402613359690451,0.9981308411214953,0.9979166666666667,0.9976593040476539
58,0.007368749460836815,1.0,1.0,1.0
59,0.005719095164739707,1.0,1.0,1.0
60,0.005521336562223815,1.0,1.0,1.0
61,0.010192723883046168,0.9981308411214953,0.9980254077633713,0.9976596752197883
62,0.008834746679419924,0.9962616822429906,0.9975216852540273,0.9953219544611941
63,0.0022033103448902422,1.0,1.0,1.0
64,0.0013479927698806851,1.0,1.0,1.0
65,0.001367681216209742,1.0,1.0,1.0
66,0.0027895720715720804,0.9925233644859813,0.9921878162315321,0.990643387356112
67,0.05022912981966424,0.9934579439252337,0.9920091839807287,0.9918021303515999
68,0.02264090104317666,0.9990654205607477,0.9993804213135068,0.9988300704691199
69,0.008621005491219346,0.9990654205607477,0.9993804213135068,0.9988300704691199
70,0.015251601854844867,0.994392523364486,0.9945941759603469,0.9929820265546123
71,0.02359411868008519,1.0,1.0,1.0
72,0.006310591384773481,1.0,1.0,1.0
73,0.003312088742167185,1.0,1.0,1.0
74,0.0018882339178474725,1.0,1.0,1.0
75,0.0027904417832957475,1.0,1.0,1.0
76,0.0019295441895622783,1.0,1.0,1.0
77,0.0010435225718375383,1.0,1.0,1.0
78,0.0007064338757633927,1.0,1.0,1.0
79,0.0008940594578797939,1.0,1.0,1.0
80,0.0012689928437441213,1.0,1.0,1.0
81,0.002239276337367124,0.9990654205607477,0.9989583333333334,0.998829791538846
82,0.008226648401554784,0.985981308411215,0.9903107222850455,0.9824812259867272
83,0.047449886010828994,0.8009345794392523,0.8107291034203602,0.7502914416941309
84,0.05597251256604882,0.9990654205607477,0.9987654320987654,0.9988298990323156
85,0.012510250863004927,0.9981308411214953,0.9972899728997291,0.9976589301967373
86,0.0056012771782756755,1.0,1.0,1.0
87,0.005011906212272532,1.0,1.0,1.0
88,0.004361448687116386,1.0,1.0,1.0
89,0.002252090102956572,1.0,1.0,1.0
90,0.005737796112993943,0.9981308411214953,0.9987608426270137,0.997660419768797
91,0.0016054752952471456,1.0,1.0,1.0
92,0.0010803416934010526,1.0,1.0,1.0
93,0.0013987579299241791,1.0,1.0,1.0
94,0.0013838780230581683,1.0,1.0,1.0
95,0.0007495258451148294,1.0,1.0,1.0
96,0.0005045673976057324,1.0,1.0,1.0
97,0.0006130395327701664,1.0,1.0,1.0
98,0.000649144260763417,1.0,1.0,1.0
99,0.0006799327126366313,1.0,1.0,1.0
100,0.07118819967631884,0.9710280373831776,0.9599753189892134,0.9635525746144836
