epoch,train_loss,val_oa,val_aa,val_kappa
1,0.05996157966130839,0.9669265296480037,0.9132599761026099,0.9532031584544218
2,0.019020727954348508,0.9401977658533293,0.9728810749014456,0.9180573296672875
3,0.013081567517798586,0.9982450811649961,0.9921979997398933,0.997513815806589
4,0.008733927480777564,0.9987175593128818,0.9949842396138239,0.9981834807268823
5,0.008404633503841566,0.9987175593128818,0.9952606419386881,0.9981833829084271
6,0.005685083695736278,0.9930140730991192,0.9813354582468357,0.9901086607277436
7,0.006585551354003404,0.9992575343390369,0.9979115191671719,0.9989485051986216
8,0.003733532507886169,0.999460024973845,0.9981574680770842,0.9992352649079872
9,0.004269818962631984,0.9994262765347103,0.998546956724589,0.9991874959932449
10,0.0035295056052486538,0.9993250312173062,0.9982946908581456,0.9990441026059315
11,0.002942639441897401,0.9989200499476899,0.9959062633368452,0.9984703853465591
12,0.003209011753709545,0.999662515608653,0.9990686611496525,0.9995220530745617
13,0.002003771809478972,0.9993925280955755,0.9977987157064148,0.9991396966526698
14,0.002231275129817029,0.999460024973845,0.9978706680673533,0.999235264365226
15,0.002060099086829949,0.999662515608653,0.9995095127388427,0.9995220816557273
16,0.0017410475794245042,0.9993250312173062,0.9980936662650982,0.9990440510987094
17,0.002542750289789299,0.9995612702912491,0.9991232698969625,0.9993786828781558
18,0.001420785949912665,0.9996287671695184,0.999436413323638,0.9994742925990643
19,0.002170431581301736,0.9973338733083595,0.9926571330282123,0.9962242551485018
20,0.0018719837390504973,0.9995612702912491,0.998626496496802,0.9993786677000747
21,0.0011862589552905911,0.9995950187303837,0.9989413101933243,0.9994264622314939
22,0.0011662827546201646,0.9997637609260571,0.9994981826641148,0.9996654376292419
23,0.0018467601297308736,0.9987850561911512,0.9975481435835611,0.9982795854781529
24,0.0008604800646362189,0.9976713576997064,0.9949226144020216,0.996702534381794
25,0.0015439582058311664,0.999662515608653,0.9986538520063026,0.999522029506944
26,0.0010621244077007094,0.9997300124869225,0.9994888928198069,0.9996176571523291
27,0.0014476181985672455,0.9998312578043266,0.9996605816342657,0.9997610232534738
28,0.0006184974093764615,0.9996962640477878,0.9985345760253507,0.9995698445934855
29,0.0010105996870548581,0.9985825655563431,0.9967023207612099,0.9979927187307537
30,0.0010674463031690913,0.9996962640477878,0.99843100967078,0.9995698150323041
31,0.0009449142099124491,0.9998312578043266,0.9995879376199763,0.9997610306709178
32,0.0010778815459622016,0.9998987546825959,0.9996133246769148,0.9998566175577165
33,0.0011992480685936212,0.9998312578043266,0.9996119681004587,0.9997610289691441
34,0.0007922152297995252,0.9999325031217307,0.9998668405247353,0.9999044100586084
35,0.0006097659634338843,0.9997637609260571,0.9994281808287803,0.9996654489911254
36,0.0004122059189143234,0.9995275218521144,0.9987885733913624,0.9993308400986285
37,0.0009594103011809583,0.9998987546825959,0.9998408284771083,0.9998566184025507
38,0.00041823434465657495,0.9998650062434612,0.9994476529817357,0.9998088231460206
39,0.0008392523979691837,0.9999325031217307,0.9999139278923129,0.9999044121292966
40,0.0005596055832368689,0.999662515608653,0.9995696394615651,0.9995220841331763
41,0.000622611615186985,0.9977726030171105,0.9946791918698472,0.9968456917709921
42,0.0007790165836297183,0.9998987546825959,0.9998198198198198,0.9998566117731215
43,0.00045081990743600886,0.9977726030171105,0.9973409057802477,0.9968471088001918
44,0.000924249057889199,0.9998650062434612,0.9997677290619037,0.9998088248148745
45,0.0005403015917446743,0.9998312578043266,0.9995879376199763,0.9997610299408733
46,0.0010798888773960748,0.9998987546825959,0.9997341364503858,0.9998566179853384
47,0.000761264222816265,0.9998650062434612,0.999827855784626,0.999808826227457
48,0.00026876816511784237,0.9999325031217307,0.9999139278923129,0.9999044121292966
49,0.0007549467356034903,0.9995612702912491,0.999169961047784,0.999378694609217
50,0.0006258399156607384,0.9999662515608653,0.9999870273075177,0.9999522059951128
51,0.0006503411070949916,0.9999662515608653,0.9999399399399399,0.9999522049597658
52,0.0004358926857357699,0.9997637609260571,0.9992047526355822,0.9996654381106064
53,0.0008156103010562964,0.9999662515608653,0.9999870273075177,0.9999522059951128
54,0.0005342703104149949,0.9998987546825959,0.9998408284771083,0.9998566181176255
55,0.0007691591247797955,0.9998987546825959,0.9998408284771083,0.9998566184025507
56,0.0007980542497926849,0.9999325031217307,0.9999139278923129,0.9999044121292966
57,0.0003246865343084296,0.9999325031217307,0.9998072358655903,0.9999044118511542
58,0.0005768413323839298,0.9996962640477878,0.9992955399591575,0.999569852338035
59,0.0003510949558064282,0.9999662515608653,0.9999870273075177,0.9999522059951128
60,0.0008359345614590122,0.9999325031217307,0.9999740546150354,0.999904413025539
61,0.0003194661916987189,0.9998987546825959,0.9999009551998306,0.9998566195852556
